year,rep,r.experience,discipline,research.data,r.studio
2018,1,1,physiology,quantitative,No
2018,2,1,physiology,quantitative,Yes
2018,3,,ecology,quantitative,Yes
2018,4,2,ecology,quantitative,No
2018,5,2,ecology,quantitative,No
2018,6,2,physiology,qualitative,No
2018,7,1,genetics,quantitative,No
2018,8,1,environmental science,quantitative,No
2018,9,2,genetics,qualitative,Yes
2018,10,2,ecology,quantitative,Yes
2018,11,1,physiology,quantitative,No
2018,12,3,ecology,quantitative,Yes
2018,13,4,ecology,quantitative,Yes
2018,14,3,ecology,quantitative,Yes
2018,15,2,ecology,quantitative,Yes
2018,16,2,genetics,quantitative,Yes
2018,17,,genetics,quantitative,No
2018,18,2,ecology,quantitative,Yes
2018,19,1,environmental science,quantitative,No
2018,20,1,environmental science,quantitative,No
2018,21,2,ecology,qualitative,No
